第一申请人,主体类型,省级地区,第一申请人城市标准化,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,main_quantum_category,type_review_count
中信建投证券股份有限公司,企业,北京,北京,2025,1,10,10.0,量子通信与安全,量子通信与安全,0
中信银行股份有限公司,企业,北京,北京,2025,1,14,14.0,量子计算,量子计算,0
中共中央办公厅电子科技学院,高校,北京,北京,2023,1,10,10.0,量子通信与安全,量子通信与安全,0
中共中央办公厅电子科技学院,高校,北京,北京,2024,6,60,10.0,量子通信与安全,量子通信与安全,0
中国中医科学院中国医史文献研究所,科研院所,北京,北京,2023,1,3,3.0,量子传感,量子传感,0
中国人民解放军61081部队,机关团体,北京,北京,2021,2,6,3.0,量子传感,量子传感,0
中国人民解放军61081部队,机关团体,北京,北京,2023,1,3,3.0,量子传感,量子传感,0
中国人民解放军61081部队,机关团体,北京,北京,2024,1,3,3.0,量子传感,量子传感,0
中国人民解放军63921部队,机关团体,北京,北京,2025,1,3,3.0,量子传感,量子传感,0
中国人民解放军93216部队,机关团体,北京,北京,2023,1,3,3.0,量子传感,量子传感,0
中国人民解放军93216部队,机关团体,北京,北京,2025,1,3,3.0,量子传感,量子传感,0
中国人民解放军96901部队,机关团体,北京,北京,2025,1,3,3.0,量子传感,量子传感,0
中国人民解放军军事科学院国防科技创新研究院,科研院所,北京,北京,2021,1,5,5.0,量子传感,量子传感,0
中国人民解放军军事科学院国防科技创新研究院,科研院所,北京,北京,2022,2,10,5.0,量子传感,量子传感,0
中国人民解放军军事科学院国防科技创新研究院,科研院所,北京,北京,2023,1,3,3.0,量子传感,量子传感,0
中国人民解放军军事科学院国防科技创新研究院,科研院所,北京,北京,2024,3,27,9.0,量子计算；量子传感,量子传感,0
中国人民解放军军事科学院国防科技创新研究院,科研院所,北京,北京,2025,3,24,8.0,量子计算；量子传感,量子传感,0
中国人民解放军军事科学院系统工程研究院,科研院所,北京,北京,2023,5,66,13.2,量子通信与安全；量子传感,量子通信与安全,0
中国人民解放军军事科学院系统工程研究院,科研院所,北京,北京,2025,1,5,5.0,量子通信与安全,量子通信与安全,0
中国人民解放军总医院第二医学中心,机关团体,北京,北京,2023,1,3,3.0,量子传感,量子传感,0
